ts_code,detect_date,note
002552.SZ,20250410,gaps up
002913.SZ,20250410,gaps up
301148.SZ,20250410,gaps up
600483.SH,20250410,gaps up
000025.SZ,20250418,gaps up
600382.SH,20250507,gaps up
603588.SH,20250519,gaps up
002366.SZ,20250529,gaps up
300587.SZ,20250609,gaps up
605167.SH,20250616,gaps up
002430.SZ,20250704,gaps up
000506.SZ,20250708,gaps up
600392.SH,20250711,gaps up
000777.SZ,20250714,gaps up
000825.SZ,20250721,gaps up
601611.SH,20250721,gaps up
000922.SZ,20250722,gaps up
603169.SH,20250723,gaps up
002639.SZ,20250724,gaps up
605088.SH,20250728,gaps up
300584.SZ,20250805,gaps up
000688.SZ,20250811,gaps up
001203.SZ,20250811,gaps up
002340.SZ,20250811,gaps up
600338.SH,20250811,gaps up
600425.SH,20250811,gaps up
600444.SH,20250811,gaps up
600581.SH,20250812,gaps up
000792.SZ,20250818,gaps up
001360.SZ,20250818,gaps up
002466.SZ,20250818,gaps up
300814.SZ,20250818,gaps up
603132.SH,20250818,gaps up
605020.SH,20250818,gaps up
002645.SZ,20250819,gaps up
002576.SZ,20250820,gaps up
301282.SZ,20250820,gaps up
603657.SH,20250820,gaps up
002056.SZ,20250821,gaps up
002315.SZ,20250821,gaps up
002714.SZ,20250821,gaps up
300777.SZ,20250821,gaps up
600660.SH,20250821,gaps up
601319.SH,20250821,gaps up
605296.SH,20250821,gaps up
002080.SZ,20250822,gaps up
002177.SZ,20250822,gaps up
002212.SZ,20250822,gaps up
002838.SZ,20250822,gaps up
003023.SZ,20250822,gaps up
300113.SZ,20250822,gaps up
300314.SZ,20250822,gaps up
300324.SZ,20250822,gaps up
301035.SZ,20250822,gaps up
600031.SH,20250822,gaps up
600315.SH,20250822,gaps up
600475.SH,20250822,gaps up
600633.SH,20250822,gaps up
600728.SH,20250822,gaps up
603187.SH,20250822,gaps up
603227.SH,20250822,gaps up
603897.SH,20250822,gaps up
603966.SH,20250822,gaps up
605028.SH,20250822,gaps up
605255.SH,20250822,gaps up
605303.SH,20250822,gaps up
000070.SZ,20250825,gaps up
000157.SZ,20250825,gaps up
000426.SZ,20250825,gaps up
000586.SZ,20250825,gaps up
000630.SZ,20250825,gaps up
000779.SZ,20250825,gaps up
000791.SZ,20250825,gaps up
000837.SZ,20250825,gaps up
000933.SZ,20250825,gaps up
000960.SZ,20250825,gaps up
000975.SZ,20250825,gaps up
001267.SZ,20250825,gaps up
001339.SZ,20250825,gaps up
002057.SZ,20250825,gaps up
002080.SZ,20250825,gaps up
002091.SZ,20250825,gaps up
002190.SZ,20250825,gaps up
002272.SZ,20250825,gaps up
002290.SZ,20250825,gaps up
002378.SZ,20250825,gaps up
002402.SZ,20250825,gaps up
002491.SZ,20250825,gaps up
002527.SZ,20250825,gaps up
002571.SZ,20250825,gaps up
002580.SZ,20250825,gaps up
002611.SZ,20250825,gaps up
002706.SZ,20250825,gaps up
002716.SZ,20250825,gaps up
002767.SZ,20250825,gaps up
002821.SZ,20250825,gaps up
003015.SZ,20250825,gaps up
300003.SZ,20250825,gaps up
300066.SZ,20250825,gaps up
300083.SZ,20250825,gaps up
300233.SZ,20250825,gaps up
300265.SZ,20250825,gaps up
300329.SZ,20250825,gaps up
300353.SZ,20250825,gaps up
300416.SZ,20250825,gaps up
300420.SZ,20250825,gaps up
300687.SZ,20250825,gaps up
300697.SZ,20250825,gaps up
300715.SZ,20250825,gaps up
300738.SZ,20250825,gaps up
300753.SZ,20250825,gaps up
300857.SZ,20250825,gaps up
300863.SZ,20250825,gaps up
300947.SZ,20250825,gaps up
300953.SZ,20250825,gaps up
301082.SZ,20250825,gaps up
301322.SZ,20250825,gaps up
301377.SZ,20250825,gaps up
301396.SZ,20250825,gaps up
600058.SH,20250825,gaps up
600095.SH,20250825,gaps up
600105.SH,20250825,gaps up
600111.SH,20250825,gaps up
600120.SH,20250825,gaps up
600490.SH,20250825,gaps up
600531.SH,20250825,gaps up
600539.SH,20250825,gaps up
600547.SH,20250825,gaps up
600589.SH,20250825,gaps up
600666.SH,20250825,gaps up
600728.SH,20250825,gaps up
600797.SH,20250825,gaps up
600875.SH,20250825,gaps up
600885.SH,20250825,gaps up
600888.SH,20250825,gaps up
600961.SH,20250825,gaps up
600988.SH,20250825,gaps up
601059.SH,20250825,gaps up
601608.SH,20250825,gaps up
601789.SH,20250825,gaps up
601899.SH,20250825,gaps up
603031.SH,20250825,gaps up
603070.SH,20250825,gaps up
603081.SH,20250825,gaps up
603118.SH,20250825,gaps up
603119.SH,20250825,gaps up
603163.SH,20250825,gaps up
603228.SH,20250825,gaps up
603259.SH,20250825,gaps up
603267.SH,20250825,gaps up
603300.SH,20250825,gaps up
603379.SH,20250825,gaps up
603456.SH,20250825,gaps up
603716.SH,20250825,gaps up
603898.SH,20250825,gaps up
603958.SH,20250825,gaps up
603979.SH,20250825,gaps up
603989.SH,20250825,gaps up
603993.SH,20250825,gaps up
605303.SH,20250825,gaps up
