ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_day_volume,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
002107.SZ,2025-12-04,,skipped,pullback_rule;volume_rule,2025-12-05,2025-12-05 14:30:00,6.63,,,,,,,,,,,,,,False,pullback_rule;volume_rule,2025-12-05,2025-12-05 14:30:00,6.63,6.5,6.7,7.15,6.58,7.15,33178593.0,62086910.0,1.1555555555555561,True,False,True,0.08000000000000007,,
001211.SZ,2025-12-04,,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-05,2025-12-05 14:30:00,29.0,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-12-05,2025-12-05 14:30:00,29.0,29.28,30.21,32.21,30.21,32.21,12541689.0,19119260.0,1.6050000000000004,False,False,False,0.9299999999999997,,
000703.SZ,2025-12-02,,skipped,volume_rule;reversal_rule,2025-12-03,2025-12-03 14:30:00,8.38,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-03,2025-12-03 14:30:00,8.38,7.51,7.94,8.21,7.94,8.21,127011373.0,119556637.0,0.0,False,False,True,0.4300000000000006,,
001318.SZ,2025-12-01,,skipped,pullback_rule;volume_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,16.62,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,16.62,15.97,16.74,17.57,16.68,17.57,25700042.0,36930331.0,1.1445783132530087,False,False,True,0.7099999999999991,,
300952.SZ,2025-12-01,,skipped,reversal_rule,2025-12-02,2025-12-02 14:30:00,33.12,,,,,,,,,,,,,,False,reversal_rule,2025-12-02,2025-12-02 14:30:00,33.12,29.85,31.29,34.02,31.21,34.88,19912043.0,9962323.0,0.3296703296703313,False,False,True,1.3599999999999994,,
002544.SZ,2025-12-01,,skipped,pullback_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,28.72,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,28.72,28.05,29.0,29.35,28.41,29.69,70749358.0,32369959.0,1.8,False,False,True,0.35999999999999943,,
600362.SH,2025-12-01,,skipped,pullback_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,40.22,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,40.22,37.58,39.65,40.86,39.65,41.17,89751469.0,44868149.0,0.5289256198347109,False,False,True,2.0700000000000003,,
002625.SZ,2025-12-01,,skipped,volume_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,49.91,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-12-02,2025-12-02 14:30:00,49.91,45.34,48.29,49.68,47.29,49.68,80689770.0,74875226.0,0.0,False,False,True,1.9499999999999957,,
601717.SH,2025-12-01,,skipped,pullback_rule,2025-12-02,2025-12-02 14:30:00,23.6,,,,,,,,,,,,,,False,pullback_rule,2025-12-02,2025-12-02 14:30:00,23.6,22.81,23.21,24.02,23.2,24.11,29456776.0,13261490.0,0.518518518518517,True,False,True,0.39000000000000057,,
002413.SZ,2025-11-26,,skipped,pullback_rule;volume_rule;reversal_rule,2025-11-27,2025-11-27 14:30:00,7.11,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-11-27,2025-11-27 14:30:00,7.11,7.01,7.71,7.71,7.44,7.71,398273953.0,509143519.0,2.2222222222222245,False,False,True,0.4300000000000006,,
000407.SZ,2025-11-18,,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-11-19,2025-11-19 14:30:00,6.02,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-11-19,2025-11-19 14:30:00,6.02,6.09,6.7,6.7,6.61,6.7,285344660.0,79465208.0,7.555555555555574,False,False,False,0.5200000000000005,,
002682.SZ,2025-11-18,,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-19,2025-11-19 14:30:00,7.06,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-11-19,2025-11-19 14:30:00,7.06,7.13,7.84,7.84,7.76,7.84,124856699.0,222469784.0,9.749999999999995,False,False,False,0.6299999999999999,,
600698.SH,2025-11-17,,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-11-18,2025-11-18 14:30:00,9.8,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-11-18,2025-11-18 14:30:00,9.8,9.81,9.99,10.35,9.98,10.49,63163573.0,35200879.0,1.5277777777777772,False,False,False,0.16999999999999993,,
