ts_code,detect_date,target_date,window_trading_days,status,direction,detect_close,target_close,change_amount,change_pct,error_message
002552.SZ,2025-04-10,2025-04-23,10,ok,up,12.66,14.26,1.5999999999999996,0.12638230647709317,
002913.SZ,2025-04-10,2025-04-23,10,ok,up,22.19,23.43,1.2399999999999984,0.05588102748986022,
301148.SZ,2025-04-10,2025-04-23,10,ok,up,17.89,19.4,1.509999999999998,0.0844046953605365,
600483.SH,2025-04-10,2025-04-23,10,ok,up,9.6,9.69,0.08999999999999986,0.009374999999999986,
000025.SZ,2025-04-18,2025-05-06,10,ok,down,21.19,17.4,-3.7900000000000027,-0.17885795186408696,
600382.SH,2025-05-07,2025-05-20,10,ok,up,4.89,4.97,0.08000000000000007,0.016359918200409013,
603588.SH,2025-05-19,2025-05-30,10,ok,down,5.84,5.66,-0.17999999999999972,-0.03082191780821913,
002366.SZ,2025-05-29,2025-06-12,10,ok,down,8.24,7.45,-0.79,-0.09587378640776699,
300587.SZ,2025-06-09,2025-06-20,10,ok,down,7.19,7.01,-0.1800000000000006,-0.025034770514603698,
605167.SH,2025-06-16,2025-06-27,10,ok,down,13.18,11.92,-1.2599999999999998,-0.09559939301972685,
002430.SZ,2025-07-04,2025-07-17,10,ok,up,20.08,21.84,1.7600000000000016,0.08764940239043834,
000506.SZ,2025-07-08,2025-07-21,10,ok,up,10.44,10.8,0.3600000000000012,0.03448275862068977,
600392.SH,2025-07-11,2025-07-24,10,ok,up,14.99,20.85,5.860000000000001,0.39092728485657113,
000777.SZ,2025-07-14,2025-07-25,10,ok,down,22.07,21.68,-0.39000000000000057,-0.017671046669687385,
000825.SZ,2025-07-21,2025-08-01,10,ok,down,4.27,4.16,-0.10999999999999943,-0.02576112412177973,
601611.SH,2025-07-21,2025-08-01,10,ok,down,9.68,9.29,-0.39000000000000057,-0.04028925619834717,
000922.SZ,2025-07-22,2025-08-04,10,ok,down,12.9,11.66,-1.2400000000000002,-0.09612403100775195,
603169.SH,2025-07-23,2025-08-05,10,ok,down,8.2,7.81,-0.3899999999999997,-0.047560975609756063,
002639.SZ,2025-07-24,2025-08-06,10,ok,down,12.15,11.61,-0.5400000000000009,-0.04444444444444452,
605088.SH,2025-07-28,2025-08-08,10,ok,down,42.9,41.53,-1.3699999999999974,-0.031934731934731876,
300584.SZ,2025-08-05,2025-08-18,10,ok,up,42.9,59.0,16.1,0.37529137529137535,
000688.SZ,2025-08-11,2025-08-22,10,ok,flat,14.41,14.41,0.0,0.0,
001203.SZ,2025-08-11,2025-08-22,10,ok,down,12.3,12.08,-0.22000000000000064,-0.017886178861788667,
002340.SZ,2025-08-11,2025-08-22,10,ok,up,6.72,6.92,0.20000000000000018,0.029761904761904788,
600338.SH,2025-08-11,2025-08-22,10,ok,up,12.06,12.21,0.15000000000000036,0.01243781094527366,
600425.SH,2025-08-11,2025-08-22,10,ok,down,4.85,4.74,-0.10999999999999943,-0.022680412371133905,
600444.SH,2025-08-11,2025-08-22,10,ok,up,17.85,18.16,0.3099999999999987,0.017366946778711412,
