ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
002552.SZ,2025-04-10,gaps up,skipped,volume_rule;reversal_rule,2025-04-11,2025-04-11 14:30:00,12.9,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-04-11,2025-04-11 14:30:00,12.9,12.38,12.6,12.66,12.6,12.88,6991384.0,6730273.0,0.0,False,False,True,0.21999999999999886,,,
002913.SZ,2025-04-10,gaps up,skipped,volume_rule;reversal_rule,2025-04-11,2025-04-11 14:30:00,22.87,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-04-11,2025-04-11 14:30:00,22.87,21.09,22.1,22.19,21.8,22.69,8247332.0,7765792.0,0.0,False,False,True,0.7100000000000009,,,
301148.SZ,2025-04-10,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-04-11,2025-04-11 14:30:00,17.51,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-04-11,2025-04-11 14:30:00,17.51,17.56,17.62,17.89,17.62,18.2,1545480.0,874790.0,1.4074074074074059,False,False,False,0.060000000000002274,,,
600483.SH,2025-04-10,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-04-11,2025-04-11 14:30:00,9.1,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-04-11,2025-04-11 14:30:00,9.1,9.43,9.68,9.6,9.46,9.71,27358613.0,17155069.0,2.0,False,False,False,0.030000000000001137,,,
000025.SZ,2025-04-18,gaps up,skipped,pullback_rule;volume_rule,2025-04-21,2025-04-21 14:30:00,20.4,,,,,,,,,,,,,,False,pullback_rule;volume_rule,2025-04-21,2025-04-21 14:30:00,20.4,19.26,20.18,21.19,20.04,21.19,77703239.0,58623770.0,0.7821782178217837,False,True,True,0.7799999999999976,,,
600382.SH,2025-05-07,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-05-08,2025-05-08 14:30:00,4.7,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-05-08,2025-05-08 14:30:00,4.7,4.79,4.81,4.89,4.8,4.9,12634759.0,5891818.0,2.3749999999999916,False,False,False,0.009999999999999787,,,
603588.SH,2025-05-19,gaps up,skipped,volume_rule,2025-05-20,2025-05-20 14:30:00,5.79,,,,,,,,,,,,,,False,volume_rule,2025-05-20,2025-05-20 14:30:00,5.79,5.58,5.64,5.84,5.62,5.95,72643358.0,90953344.0,0.2499999999999989,True,False,True,0.040000000000000036,,,
002366.SZ,2025-05-29,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-05-30,2025-05-30 14:30:00,7.42,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-05-30,2025-05-30 14:30:00,7.42,7.49,7.77,8.24,7.58,8.24,614004728.0,406475570.0,1.744680851063828,False,False,False,0.08999999999999986,,,
300587.SZ,2025-06-09,gaps up,skipped,pullback_rule;reversal_rule,2025-06-10,2025-06-10 14:30:00,6.92,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-06-10,2025-06-10 14:30:00,6.92,6.32,6.61,7.19,6.51,7.35,127359618.0,76196025.0,0.4655172413793111,False,False,True,0.1899999999999995,,,
605167.SH,2025-06-16,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-06-17,2025-06-17 14:30:00,12.32,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-06-17,2025-06-17 14:30:00,12.32,12.54,12.97,13.18,12.6,13.64,59721911.0,34511398.0,4.095238095238111,False,False,False,0.0600000000000005,,,
002430.SZ,2025-07-04,gaps up,skipped,volume_rule;reversal_rule,2025-07-07,2025-07-07 14:30:00,20.17,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-07,2025-07-07 14:30:00,20.17,19.7,19.73,20.08,19.71,20.5,15458686.0,10654924.0,0.0,False,False,True,0.010000000000001563,,,
000506.SZ,2025-07-08,gaps up,skipped,volume_rule;reversal_rule,2025-07-09,2025-07-09 14:30:00,10.36,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-09,2025-07-09 14:30:00,10.36,9.85,10.04,10.44,9.94,10.6,56833488.0,40303266.0,0.2,False,False,True,0.08999999999999986,,,
600392.SH,2025-07-11,gaps up,skipped,volume_rule;reversal_rule,2025-07-14,2025-07-14 14:30:00,14.98,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-14,2025-07-14 14:30:00,14.98,13.8,14.38,14.99,14.06,14.99,185756650.0,212674071.0,0.016393442622950484,False,False,True,0.2599999999999998,,,
000777.SZ,2025-07-14,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-07-15,2025-07-15 14:30:00,21.62,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-07-15,2025-07-15 14:30:00,21.62,20.12,22.07,22.07,22.05,22.07,22300916.0,58210212.0,22.500000000000444,False,False,True,1.9299999999999997,,,
000825.SZ,2025-07-21,gaps up,skipped,volume_rule,2025-07-22,2025-07-22 14:30:00,4.38,,,,,,,,,,,,,,False,volume_rule,2025-07-22,2025-07-22 14:30:00,4.38,4.18,4.2,4.27,4.19,4.33,70967604.0,74072041.0,0.0,True,False,True,0.010000000000000675,,,
601611.SH,2025-07-21,gaps up,skipped,volume_rule;reversal_rule,2025-07-22,2025-07-22 14:30:00,9.78,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-22,2025-07-22 14:30:00,9.78,9.34,9.4,9.68,9.37,9.68,44601495.0,75969780.0,0.0,False,False,True,0.02999999999999936,,,
000922.SZ,2025-07-22,gaps up,skipped,volume_rule;reversal_rule,2025-07-23,2025-07-23 14:30:00,12.97,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-07-23,2025-07-23 14:30:00,12.97,11.83,12.3,12.9,11.96,12.9,75241901.0,105237136.0,0.0,False,False,True,0.13000000000000078,,,
603169.SH,2025-07-23,gaps up,skipped,pullback_rule;reversal_rule,2025-07-24,2025-07-24 14:30:00,8.07,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-07-24,2025-07-24 14:30:00,8.07,7.91,8.03,8.2,8.03,8.33,106633600.0,52179492.0,0.7647058823529357,False,False,True,0.11999999999999922,,,
002639.SZ,2025-07-24,gaps up,skipped,pullback_rule;reversal_rule,2025-07-25,2025-07-25 14:30:00,11.48,,,,,,,,,,,,,,False,pullback_rule;reversal_rule,2025-07-25,2025-07-25 14:30:00,11.48,11.44,11.92,12.15,11.72,12.55,274586486.0,170882520.0,2.913043478260864,False,False,True,0.28000000000000114,,,
605088.SH,2025-07-28,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-07-29,2025-07-29 14:30:00,42.03,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-07-29,2025-07-29 14:30:00,42.03,42.37,42.87,42.9,42.44,43.96,13363704.0,7905143.0,28.999999999998817,False,False,False,0.07000000000000028,,,
300584.SZ,2025-08-05,gaps up,traded,completed,2025-08-06,2025-08-06 14:30:00,44.31,42.094500000000004,2.2154999999999987,2025-08-07,2025-08-07 10:34:00,46.5255,trailing_stop,2.0,2.2154999999999987,0.04999999999999997,1.0,3.2949672760099307,-0.031595576619273445,46.5255,True,eligible,2025-08-06,2025-08-06 14:30:00,44.31,41.27,42.53,42.9,41.75,45.3,26868900.0,17272900.0,0.0,False,True,True,0.4799999999999969,42.094500000000004,2.2154999999999987,
